Poison/Grass:[('Normal', 100), ('Fire', 200), ('Water', 50), ('Electric', 50), ('Grass', 25), ('Ice', 200), ('Fighting', 50), ('Poison', 100), ('Ground', 100), ('Flying', 200), ('Psychic', 200), ('Bug', 100), ('Rock', 100), ('Ghost', 100), ('Dragon', 100), ('Dark', 100), ('Steel', 100), ('Fairy', 50)]
Rock/Ghost:[('Normal', 0), ('Fire', 50), ('Water', 200), ('Electric', 100), ('Grass', 200), ('Ice', 100), ('Fighting', 0), ('Poison', 25), ('Ground', 200), ('Flying', 50), ('Psychic', 100), ('Bug', 50), ('Rock', 100), ('Ghost', 200), ('Dragon', 100), ('Dark', 200), ('Steel', 200), ('Fairy', 100)]
Fire/Steel:[('Normal', 50), ('Fire', 100), ('Water', 200), ('Electric', 100), ('Grass', 25), ('Ice', 25), ('Fighting', 200), ('Poison', 0), ('Ground', 400), ('Flying', 50), ('Psychic', 50), ('Bug', 25), ('Rock', 100), ('Ghost', 100), ('Dragon', 50), ('Dark', 100), ('Steel', 25), ('Fairy', 25)]
Psychic:[('Normal', 100), ('Fire', 100), ('Water', 100), ('Electric', 100), ('Grass', 100), ('Ice', 100), ('Fighting', 50), ('Poison', 100), ('Ground', 100), ('Flying', 100), ('Psychic', 50), ('Bug', 200), ('Rock', 100), ('Ghost', 200), ('Dragon', 100), ('Dark', 200), ('Steel', 100), ('Fairy', 100)]
Fire/Fairy:[('Normal', 100), ('Fire', 50), ('Water', 200), ('Electric', 100), ('Grass', 50), ('Ice', 50), ('Fighting', 50), ('Poison', 200), ('Ground', 200), ('Flying', 100), ('Psychic', 100), ('Bug', 25), ('Rock', 200), ('Ghost', 100), ('Dragon', 0), ('Dark', 50), ('Steel', 100), ('Fairy', 50)]
Psychic/Electric:[('Normal', 100), ('Fire', 100), ('Water', 100), ('Electric', 50), ('Grass', 100), ('Ice', 100), ('Fighting', 50), ('Poison', 100), ('Ground', 200), ('Flying', 50), ('Psychic', 50), ('Bug', 200), ('Rock', 100), ('Ghost', 200), ('Dragon', 100), ('Dark', 200), ('Steel', 50), ('Fairy', 100)]
Fairy/Grass:[('Normal', 100), ('Fire', 200), ('Water', 50), ('Electric', 50), ('Grass', 50), ('Ice', 200), ('Fighting', 50), ('Poison', 400), ('Ground', 50), ('Flying', 200), ('Psychic', 100), ('Bug', 100), ('Rock', 100), ('Ghost', 100), ('Dragon', 0), ('Dark', 50), ('Steel', 200), ('Fairy', 100)]
Fairy/Electric:[('Normal', 100), ('Fire', 100), ('Water', 100), ('Electric', 50), ('Grass', 100), ('Ice', 100), ('Fighting', 50), ('Poison', 200), ('Ground', 200), ('Flying', 50), ('Psychic', 100), ('Bug', 50), ('Rock', 100), ('Ghost', 100), ('Dragon', 0), ('Dark', 50), ('Steel', 100), ('Fairy', 100)]
Bug/Poison:[('Normal', 100), ('Fire', 200), ('Water', 100), ('Electric', 100), ('Grass', 25), ('Ice', 100), ('Fighting', 25), ('Poison', 50), ('Ground', 100), ('Flying', 200), ('Psychic', 200), ('Bug', 50), ('Rock', 200), ('Ghost', 100), ('Dragon', 100), ('Dark', 100), ('Steel', 100), ('Fairy', 50)]
Ice/Dragon:[('Normal', 100), ('Fire', 100), ('Water', 50), ('Electric', 50), ('Grass', 50), ('Ice', 100), ('Fighting', 200), ('Poison', 100), ('Ground', 100), ('Flying', 100), ('Psychic', 100), ('Bug', 100), ('Rock', 200), ('Ghost', 100), ('Dragon', 200), ('Dark', 100), ('Steel', 200), ('Fairy', 200)]
Grass/Ice:[('Normal', 100), ('Fire', 400), ('Water', 50), ('Electric', 50), ('Grass', 50), ('Ice', 100), ('Fighting', 200), ('Poison', 200), ('Ground', 50), ('Flying', 200), ('Psychic', 100), ('Bug', 200), ('Rock', 200), ('Ghost', 100), ('Dragon', 100), ('Dark', 100), ('Steel', 200), ('Fairy', 100)]
Flying/Rock:[('Normal', 50), ('Fire', 50), ('Water', 200), ('Electric', 200), ('Grass', 100), ('Ice', 200), ('Fighting', 100), ('Poison', 50), ('Ground', 0), ('Flying', 50), ('Psychic', 100), ('Bug', 50), ('Rock', 200), ('Ghost', 100), ('Dragon', 100), ('Dark', 100), ('Steel', 200), ('Fairy', 100)]
Grass/Ground:[('Normal', 100), ('Fire', 200), ('Water', 100), ('Electric', 0), ('Grass', 100), ('Ice', 400), ('Fighting', 100), ('Poison', 100), ('Ground', 50), ('Flying', 200), ('Psychic', 100), ('Bug', 200), ('Rock', 50), ('Ghost', 100), ('Dragon', 100), ('Dark', 100), ('Steel', 100), ('Fairy', 100)]
Dragon/Steel:[('Normal', 50), ('Fire', 100), ('Water', 50), ('Electric', 50), ('Grass', 25), ('Ice', 100), ('Fighting', 200), ('Poison', 0), ('Ground', 200), ('Flying', 50), ('Psychic', 50), ('Bug', 50), ('Rock', 50), ('Ghost', 100), ('Dragon', 100), ('Dark', 100), ('Steel', 50), ('Fairy', 100)]
Fairy:[('Normal', 100), ('Fire', 100), ('Water', 100), ('Electric', 100), ('Grass', 100), ('Ice', 100), ('Fighting', 50), ('Poison', 200), ('Ground', 100), ('Flying', 100), ('Psychic', 100), ('Bug', 50), ('Rock', 100), ('Ghost', 100), ('Dragon', 0), ('Dark', 50), ('Steel', 200), ('Fairy', 100)]
Dark/Normal:[('Normal', 100), ('Fire', 100), ('Water', 100), ('Electric', 100), ('Grass', 100), ('Ice', 100), ('Fighting', 400), ('Poison', 100), ('Ground', 100), ('Flying', 100), ('Psychic', 0), ('Bug', 200), ('Rock', 100), ('Ghost', 0), ('Dragon', 100), ('Dark', 50), ('Steel', 100), ('Fairy', 200)]
Ice/Flying:[('Normal', 100), ('Fire', 200), ('Water', 100), ('Electric', 200), ('Grass', 50), ('Ice', 100), ('Fighting', 100), ('Poison', 100), ('Ground', 0), ('Flying', 100), ('Psychic', 100), ('Bug', 50), ('Rock', 400), ('Ghost', 100), ('Dragon', 100), ('Dark', 100), ('Steel', 200), ('Fairy', 100)]
Ghost/Water:[('Normal', 0), ('Fire', 50), ('Water', 50), ('Electric', 200), ('Grass', 200), ('Ice', 50), ('Fighting', 0), ('Poison', 50), ('Ground', 100), ('Flying', 100), ('Psychic', 100), ('Bug', 50), ('Rock', 100), ('Ghost', 200), ('Dragon', 100), ('Dark', 200), ('Steel', 50), ('Fairy', 100)]
Electric/Flying:[('Normal', 100), ('Fire', 100), ('Water', 100), ('Electric', 100), ('Grass', 50), ('Ice', 200), ('Fighting', 50), ('Poison', 100), ('Ground', 0), ('Flying', 50), ('Psychic', 100), ('Bug', 50), ('Rock', 200), ('Ghost', 100), ('Dragon', 100), ('Dark', 100), ('Steel', 50), ('Fairy', 100)]
Dark/Rock:[('Normal', 50), ('Fire', 50), ('Water', 200), ('Electric', 100), ('Grass', 200), ('Ice', 100), ('Fighting', 400), ('Poison', 50), ('Ground', 200), ('Flying', 50), ('Psychic', 0), ('Bug', 200), ('Rock', 100), ('Ghost', 50), ('Dragon', 100), ('Dark', 50), ('Steel', 200), ('Fairy', 200)]
Poison/Ghost:[('Normal', 0), ('Fire', 100), ('Water', 100), ('Electric', 100), ('Grass', 50), ('Ice', 100), ('Fighting', 0), ('Poison', 25), ('Ground', 200), ('Flying', 100), ('Psychic', 200), ('Bug', 25), ('Rock', 100), ('Ghost', 200), ('Dragon', 100), ('Dark', 200), ('Steel', 100), ('Fairy', 50)]
Bug/Fairy:[('Normal', 100), ('Fire', 200), ('Water', 100), ('Electric', 100), ('Grass', 50), ('Ice', 100), ('Fighting', 25), ('Poison', 200), ('Ground', 50), ('Flying', 200), ('Psychic', 100), ('Bug', 50), ('Rock', 200), ('Ghost', 100), ('Dragon', 0), ('Dark', 50), ('Steel', 200), ('Fairy', 100)]
Ice/Fighting:[('Normal', 100), ('Fire', 200), ('Water', 100), ('Electric', 100), ('Grass', 100), ('Ice', 50), ('Fighting', 200), ('Poison', 100), ('Ground', 100), ('Flying', 200), ('Psychic', 200), ('Bug', 50), ('Rock', 100), ('Ghost', 100), ('Dragon', 100), ('Dark', 50), ('Steel', 200), ('Fairy', 200)]
Dark/Bug:[('Normal', 100), ('Fire', 200), ('Water', 100), ('Electric', 100), ('Grass', 50), ('Ice', 100), ('Fighting', 100), ('Poison', 100), ('Ground', 50), ('Flying', 200), ('Psychic', 0), ('Bug', 200), ('Rock', 200), ('Ghost', 50), ('Dragon', 100), ('Dark', 50), ('Steel', 100), ('Fairy', 200)]
Fighting/Electric:[('Normal', 100), ('Fire', 100), ('Water', 100), ('Electric', 50), ('Grass', 100), ('Ice', 100), ('Fighting', 100), ('Poison', 100), ('Ground', 200), ('Flying', 100), ('Psychic', 200), ('Bug', 50), ('Rock', 50), ('Ghost', 100), ('Dragon', 100), ('Dark', 50), ('Steel', 50), ('Fairy', 200)]
Electric/Dragon:[('Normal', 100), ('Fire', 50), ('Water', 50), ('Electric', 25), ('Grass', 50), ('Ice', 200), ('Fighting', 100), ('Poison', 100), ('Ground', 200), ('Flying', 50), ('Psychic', 100), ('Bug', 100), ('Rock', 100), ('Ghost', 100), ('Dragon', 200), ('Dark', 100), ('Steel', 50), ('Fairy', 200)]
Steel/Ghost:[('Normal', 0), ('Fire', 200), ('Water', 100), ('Electric', 100), ('Grass', 50), ('Ice', 50), ('Fighting', 0), ('Poison', 0), ('Ground', 200), ('Flying', 50), ('Psychic', 50), ('Bug', 25), ('Rock', 50), ('Ghost', 200), ('Dragon', 50), ('Dark', 200), ('Steel', 50), ('Fairy', 50)]
Grass/Psychic:[('Normal', 100), ('Fire', 200), ('Water', 50), ('Electric', 50), ('Grass', 50), ('Ice', 200), ('Fighting', 50), ('Poison', 200), ('Ground', 50), ('Flying', 200), ('Psychic', 50), ('Bug', 400), ('Rock', 100), ('Ghost', 200), ('Dragon', 100), ('Dark', 200), ('Steel', 100), ('Fairy', 100)]
Fire/Ground:[('Normal', 100), ('Fire', 50), ('Water', 400), ('Electric', 0), ('Grass', 100), ('Ice', 100), ('Fighting', 100), ('Poison', 50), ('Ground', 200), ('Flying', 100), ('Psychic', 100), ('Bug', 50), ('Rock', 100), ('Ghost', 100), ('Dragon', 100), ('Dark', 100), ('Steel', 50), ('Fairy', 50)]
Flying/Normal:[('Normal', 100), ('Fire', 100), ('Water', 100), ('Electric', 200), ('Grass', 50), ('Ice', 200), ('Fighting', 100), ('Poison', 100), ('Ground', 0), ('Flying', 100), ('Psychic', 100), ('Bug', 50), ('Rock', 200), ('Ghost', 0), ('Dragon', 100), ('Dark', 100), ('Steel', 100), ('Fairy', 100)]
Water/Ice:[('Normal', 100), ('Fire', 100), ('Water', 50), ('Electric', 200), ('Grass', 200), ('Ice', 25), ('Fighting', 200), ('Poison', 100), ('Ground', 100), ('Flying', 100), ('Psychic', 100), ('Bug', 100), ('Rock', 200), ('Ghost', 100), ('Dragon', 100), ('Dark', 100), ('Steel', 100), ('Fairy', 100)]
Steel/Flying:[('Normal', 50), ('Fire', 200), ('Water', 100), ('Electric', 200), ('Grass', 25), ('Ice', 100), ('Fighting', 100), ('Poison', 0), ('Ground', 0), ('Flying', 50), ('Psychic', 50), ('Bug', 25), ('Rock', 100), ('Ghost', 100), ('Dragon', 50), ('Dark', 100), ('Steel', 50), ('Fairy', 50)]
Normal/Dragon:[('Normal', 100), ('Fire', 50), ('Water', 50), ('Electric', 50), ('Grass', 50), ('Ice', 200), ('Fighting', 200), ('Poison', 100), ('Ground', 100), ('Flying', 100), ('Psychic', 100), ('Bug', 100), ('Rock', 100), ('Ghost', 0), ('Dragon', 200), ('Dark', 100), ('Steel', 100), ('Fairy', 200)]
Dark:[('Normal', 100), ('Fire', 100), ('Water', 100), ('Electric', 100), ('Grass', 100), ('Ice', 100), ('Fighting', 200), ('Poison', 100), ('Ground', 100), ('Flying', 100), ('Psychic', 0), ('Bug', 200), ('Rock', 100), ('Ghost', 50), ('Dragon', 100), ('Dark', 50), ('Steel', 100), ('Fairy', 200)]
Psychic/Fighting:[('Normal', 100), ('Fire', 100), ('Water', 100), ('Electric', 100), ('Grass', 100), ('Ice', 100), ('Fighting', 50), ('Poison', 100), ('Ground', 100), ('Flying', 200), ('Psychic', 100), ('Bug', 100), ('Rock', 50), ('Ghost', 200), ('Dragon', 100), ('Dark', 100), ('Steel', 100), ('Fairy', 200)]
Ghost/Bug:[('Normal', 0), ('Fire', 200), ('Water', 100), ('Electric', 100), ('Grass', 50), ('Ice', 100), ('Fighting', 0), ('Poison', 50), ('Ground', 50), ('Flying', 200), ('Psychic', 100), ('Bug', 50), ('Rock', 200), ('Ghost', 200), ('Dragon', 100), ('Dark', 200), ('Steel', 100), ('Fairy', 100)]
Psychic/Normal:[('Normal', 100), ('Fire', 100), ('Water', 100), ('Electric', 100), ('Grass', 100), ('Ice', 100), ('Fighting', 100), ('Poison', 100), ('Ground', 100), ('Flying', 100), ('Psychic', 50), ('Bug', 200), ('Rock', 100), ('Ghost', 0), ('Dragon', 100), ('Dark', 200), ('Steel', 100), ('Fairy', 100)]
Dragon/Ghost:[('Normal', 0), ('Fire', 50), ('Water', 50), ('Electric', 50), ('Grass', 50), ('Ice', 200), ('Fighting', 0), ('Poison', 50), ('Ground', 100), ('Flying', 100), ('Psychic', 100), ('Bug', 50), ('Rock', 100), ('Ghost', 200), ('Dragon', 200), ('Dark', 200), ('Steel', 100), ('Fairy', 200)]
Steel/Dark:[('Normal', 50), ('Fire', 200), ('Water', 100), ('Electric', 100), ('Grass', 50), ('Ice', 50), ('Fighting', 400), ('Poison', 0), ('Ground', 200), ('Flying', 50), ('Psychic', 0), ('Bug', 100), ('Rock', 50), ('Ghost', 50), ('Dragon', 50), ('Dark', 50), ('Steel', 50), ('Fairy', 100)]
Ice/Steel:[('Normal', 50), ('Fire', 400), ('Water', 100), ('Electric', 100), ('Grass', 50), ('Ice', 25), ('Fighting', 400), ('Poison', 0), ('Ground', 200), ('Flying', 50), ('Psychic', 50), ('Bug', 50), ('Rock', 100), ('Ghost', 100), ('Dragon', 50), ('Dark', 100), ('Steel', 100), ('Fairy', 50)]
Ghost/Normal:[('Normal', 0), ('Fire', 100), ('Water', 100), ('Electric', 100), ('Grass', 100), ('Ice', 100), ('Fighting', 0), ('Poison', 50), ('Ground', 100), ('Flying', 100), ('Psychic', 100), ('Bug', 50), ('Rock', 100), ('Ghost', 0), ('Dragon', 100), ('Dark', 200), ('Steel', 100), ('Fairy', 100)]
Electric/Ice:[('Normal', 100), ('Fire', 200), ('Water', 100), ('Electric', 50), ('Grass', 100), ('Ice', 50), ('Fighting', 200), ('Poison', 100), ('Ground', 200), ('Flying', 50), ('Psychic', 100), ('Bug', 100), ('Rock', 200), ('Ghost', 100), ('Dragon', 100), ('Dark', 100), ('Steel', 100), ('Fairy', 100)]
Normal/Fairy:[('Normal', 100), ('Fire', 100), ('Water', 100), ('Electric', 100), ('Grass', 100), ('Ice', 100), ('Fighting', 100), ('Poison', 200), ('Ground', 100), ('Flying', 100), ('Psychic', 100), ('Bug', 50), ('Rock', 100), ('Ghost', 0), ('Dragon', 0), ('Dark', 50), ('Steel', 200), ('Fairy', 100)]
Flying:[('Normal', 100), ('Fire', 100), ('Water', 100), ('Electric', 200), ('Grass', 50), ('Ice', 200), ('Fighting', 50), ('Poison', 100), ('Ground', 0), ('Flying', 100), ('Psychic', 100), ('Bug', 50), ('Rock', 200), ('Ghost', 100), ('Dragon', 100), ('Dark', 100), ('Steel', 100), ('Fairy', 100)]
Steel/Bug:[('Normal', 50), ('Fire', 400), ('Water', 100), ('Electric', 100), ('Grass', 25), ('Ice', 50), ('Fighting', 100), ('Poison', 0), ('Ground', 100), ('Flying', 100), ('Psychic', 50), ('Bug', 50), ('Rock', 100), ('Ghost', 100), ('Dragon', 50), ('Dark', 100), ('Steel', 50), ('Fairy', 50)]
Ground/Dragon:[('Normal', 100), ('Fire', 50), ('Water', 100), ('Electric', 0), ('Grass', 100), ('Ice', 400), ('Fighting', 100), ('Poison', 50), ('Ground', 100), ('Flying', 100), ('Psychic', 100), ('Bug', 100), ('Rock', 50), ('Ghost', 100), ('Dragon', 200), ('Dark', 100), ('Steel', 100), ('Fairy', 200)]
Fighting/Ground:[('Normal', 100), ('Fire', 100), ('Water', 200), ('Electric', 0), ('Grass', 200), ('Ice', 200), ('Fighting', 100), ('Poison', 50), ('Ground', 100), ('Flying', 200), ('Psychic', 200), ('Bug', 50), ('Rock', 25), ('Ghost', 100), ('Dragon', 100), ('Dark', 50), ('Steel', 100), ('Fairy', 200)]
Grass/Dark:[('Normal', 100), ('Fire', 200), ('Water', 50), ('Electric', 50), ('Grass', 50), ('Ice', 200), ('Fighting', 200), ('Poison', 200), ('Ground', 50), ('Flying', 200), ('Psychic', 0), ('Bug', 400), ('Rock', 100), ('Ghost', 50), ('Dragon', 100), ('Dark', 50), ('Steel', 100), ('Fairy', 200)]
Steel/Fire:[('Normal', 50), ('Fire', 100), ('Water', 200), ('Electric', 100), ('Grass', 25), ('Ice', 25), ('Fighting', 200), ('Poison', 0), ('Ground', 400), ('Flying', 50), ('Psychic', 50), ('Bug', 25), ('Rock', 100), ('Ghost', 100), ('Dragon', 50), ('Dark', 100), ('Steel', 25), ('Fairy', 25)]
Fire/Fighting:[('Normal', 100), ('Fire', 50), ('Water', 200), ('Electric', 100), ('Grass', 50), ('Ice', 50), ('Fighting', 100), ('Poison', 100), ('Ground', 200), ('Flying', 200), ('Psychic', 200), ('Bug', 25), ('Rock', 100), ('Ghost', 100), ('Dragon', 100), ('Dark', 50), ('Steel', 50), ('Fairy', 100)]
Psychic/Bug:[('Normal', 100), ('Fire', 200), ('Water', 100), ('Electric', 100), ('Grass', 50), ('Ice', 100), ('Fighting', 25), ('Poison', 100), ('Ground', 50), ('Flying', 200), ('Psychic', 50), ('Bug', 200), ('Rock', 200), ('Ghost', 200), ('Dragon', 100), ('Dark', 200), ('Steel', 100), ('Fairy', 100)]
Fire/Water:[('Normal', 100), ('Fire', 25), ('Water', 100), ('Electric', 200), ('Grass', 100), ('Ice', 25), ('Fighting', 100), ('Poison', 100), ('Ground', 200), ('Flying', 100), ('Psychic', 100), ('Bug', 50), ('Rock', 200), ('Ghost', 100), ('Dragon', 100), ('Dark', 100), ('Steel', 25), ('Fairy', 50)]
Psychic/Dragon:[('Normal', 100), ('Fire', 50), ('Water', 50), ('Electric', 50), ('Grass', 50), ('Ice', 200), ('Fighting', 50), ('Poison', 100), ('Ground', 100), ('Flying', 100), ('Psychic', 50), ('Bug', 200), ('Rock', 100), ('Ghost', 200), ('Dragon', 200), ('Dark', 200), ('Steel', 100), ('Fairy', 200)]
Flying/Fairy:[('Normal', 100), ('Fire', 100), ('Water', 100), ('Electric', 200), ('Grass', 50), ('Ice', 200), ('Fighting', 25), ('Poison', 200), ('Ground', 0), ('Flying', 100), ('Psychic', 100), ('Bug', 25), ('Rock', 200), ('Ghost', 100), ('Dragon', 0), ('Dark', 50), ('Steel', 200), ('Fairy', 100)]
Electric/Bug:[('Normal', 100), ('Fire', 200), ('Water', 100), ('Electric', 50), ('Grass', 50), ('Ice', 100), ('Fighting', 50), ('Poison', 100), ('Ground', 100), ('Flying', 100), ('Psychic', 100), ('Bug', 100), ('Rock', 200), ('Ghost', 100), ('Dragon', 100), ('Dark', 100), ('Steel', 50), ('Fairy', 100)]
Bug/Electric:[('Normal', 100), ('Fire', 200), ('Water', 100), ('Electric', 50), ('Grass', 50), ('Ice', 100), ('Fighting', 50), ('Poison', 100), ('Ground', 100), ('Flying', 100), ('Psychic', 100), ('Bug', 100), ('Rock', 200), ('Ghost', 100), ('Dragon', 100), ('Dark', 100), ('Steel', 50), ('Fairy', 100)]
Ghost/Grass:[('Normal', 0), ('Fire', 200), ('Water', 50), ('Electric', 50), ('Grass', 50), ('Ice', 200), ('Fighting', 0), ('Poison', 100), ('Ground', 50), ('Flying', 200), ('Psychic', 100), ('Bug', 100), ('Rock', 100), ('Ghost', 200), ('Dragon', 100), ('Dark', 200), ('Steel', 100), ('Fairy', 100)]
Ground:[('Normal', 100), ('Fire', 100), ('Water', 200), ('Electric', 0), ('Grass', 200), ('Ice', 200), ('Fighting', 100), ('Poison', 50), ('Ground', 100), ('Flying', 100), ('Psychic', 100), ('Bug', 100), ('Rock', 50), ('Ghost', 100), ('Dragon', 100), ('Dark', 100), ('Steel', 100), ('Fairy', 100)]
Rock/Bug:[('Normal', 50), ('Fire', 100), ('Water', 200), ('Electric', 100), ('Grass', 100), ('Ice', 100), ('Fighting', 100), ('Poison', 50), ('Ground', 100), ('Flying', 100), ('Psychic', 100), ('Bug', 100), ('Rock', 200), ('Ghost', 100), ('Dragon', 100), ('Dark', 100), ('Steel', 200), ('Fairy', 100)]
Electric/Grass:[('Normal', 100), ('Fire', 200), ('Water', 50), ('Electric', 25), ('Grass', 50), ('Ice', 200), ('Fighting', 100), ('Poison', 200), ('Ground', 100), ('Flying', 100), ('Psychic', 100), ('Bug', 200), ('Rock', 100), ('Ghost', 100), ('Dragon', 100), ('Dark', 100), ('Steel', 50), ('Fairy', 100)]
Ground/Bug:[('Normal', 100), ('Fire', 200), ('Water', 200), ('Electric', 0), ('Grass', 100), ('Ice', 200), ('Fighting', 50), ('Poison', 50), ('Ground', 50), ('Flying', 200), ('Psychic', 100), ('Bug', 100), ('Rock', 100), ('Ghost', 100), ('Dragon', 100), ('Dark', 100), ('Steel', 100), ('Fairy', 100)]
Ground/Water:[('Normal', 100), ('Fire', 50), ('Water', 100), ('Electric', 0), ('Grass', 400), ('Ice', 100), ('Fighting', 100), ('Poison', 50), ('Ground', 100), ('Flying', 100), ('Psychic', 100), ('Bug', 100), ('Rock', 50), ('Ghost', 100), ('Dragon', 100), ('Dark', 100), ('Steel', 50), ('Fairy', 100)]
Electric/Psychic:[('Normal', 100), ('Fire', 100), ('Water', 100), ('Electric', 50), ('Grass', 100), ('Ice', 100), ('Fighting', 50), ('Poison', 100), ('Ground', 200), ('Flying', 50), ('Psychic', 50), ('Bug', 200), ('Rock', 100), ('Ghost', 200), ('Dragon', 100), ('Dark', 200), ('Steel', 50), ('Fairy', 100)]
Grass/Fighting:[('Normal', 100), ('Fire', 200), ('Water', 50), ('Electric', 50), ('Grass', 50), ('Ice', 200), ('Fighting', 100), ('Poison', 200), ('Ground', 50), ('Flying', 400), ('Psychic', 200), ('Bug', 100), ('Rock', 50), ('Ghost', 100), ('Dragon', 100), ('Dark', 50), ('Steel', 100), ('Fairy', 200)]
Fairy/Dragon:[('Normal', 100), ('Fire', 50), ('Water', 50), ('Electric', 50), ('Grass', 50), ('Ice', 200), ('Fighting', 50), ('Poison', 200), ('Ground', 100), ('Flying', 100), ('Psychic', 100), ('Bug', 50), ('Rock', 100), ('Ghost', 100), ('Dragon', 0), ('Dark', 50), ('Steel', 200), ('Fairy', 200)]
Psychic/Flying:[('Normal', 100), ('Fire', 100), ('Water', 100), ('Electric', 200), ('Grass', 50), ('Ice', 200), ('Fighting', 25), ('Poison', 100), ('Ground', 0), ('Flying', 100), ('Psychic', 50), ('Bug', 100), ('Rock', 200), ('Ghost', 200), ('Dragon', 100), ('Dark', 200), ('Steel', 100), ('Fairy', 100)]
Psychic/Ghost:[('Normal', 0), ('Fire', 100), ('Water', 100), ('Electric', 100), ('Grass', 100), ('Ice', 100), ('Fighting', 0), ('Poison', 50), ('Ground', 100), ('Flying', 100), ('Psychic', 50), ('Bug', 100), ('Rock', 100), ('Ghost', 400), ('Dragon', 100), ('Dark', 400), ('Steel', 100), ('Fairy', 100)]
Flying/Grass:[('Normal', 100), ('Fire', 200), ('Water', 50), ('Electric', 100), ('Grass', 25), ('Ice', 400), ('Fighting', 50), ('Poison', 200), ('Ground', 0), ('Flying', 200), ('Psychic', 100), ('Bug', 100), ('Rock', 200), ('Ghost', 100), ('Dragon', 100), ('Dark', 100), ('Steel', 100), ('Fairy', 100)]
Fire/Ice:[('Normal', 100), ('Fire', 100), ('Water', 200), ('Electric', 100), ('Grass', 50), ('Ice', 25), ('Fighting', 200), ('Poison', 100), ('Ground', 200), ('Flying', 100), ('Psychic', 100), ('Bug', 50), ('Rock', 400), ('Ghost', 100), ('Dragon', 100), ('Dark', 100), ('Steel', 100), ('Fairy', 50)]
Fire/Dark:[('Normal', 100), ('Fire', 50), ('Water', 200), ('Electric', 100), ('Grass', 50), ('Ice', 50), ('Fighting', 200), ('Poison', 100), ('Ground', 200), ('Flying', 100), ('Psychic', 0), ('Bug', 100), ('Rock', 200), ('Ghost', 50), ('Dragon', 100), ('Dark', 50), ('Steel', 50), ('Fairy', 100)]
Rock/Fire:[('Normal', 50), ('Fire', 25), ('Water', 400), ('Electric', 100), ('Grass', 100), ('Ice', 50), ('Fighting', 200), ('Poison', 50), ('Ground', 400), ('Flying', 50), ('Psychic', 100), ('Bug', 50), ('Rock', 200), ('Ghost', 100), ('Dragon', 100), ('Dark', 100), ('Steel', 100), ('Fairy', 50)]
Fighting/Rock:[('Normal', 50), ('Fire', 50), ('Water', 200), ('Electric', 100), ('Grass', 200), ('Ice', 100), ('Fighting', 200), ('Poison', 50), ('Ground', 200), ('Flying', 100), ('Psychic', 200), ('Bug', 50), ('Rock', 50), ('Ghost', 100), ('Dragon', 100), ('Dark', 50), ('Steel', 200), ('Fairy', 200)]
Ghost/Dark:[('Normal', 0), ('Fire', 100), ('Water', 100), ('Electric', 100), ('Grass', 100), ('Ice', 100), ('Fighting', 0), ('Poison', 50), ('Ground', 100), ('Flying', 100), ('Psychic', 0), ('Bug', 100), ('Rock', 100), ('Ghost', 100), ('Dragon', 100), ('Dark', 100), ('Steel', 100), ('Fairy', 200)]
Ground/Dark:[('Normal', 100), ('Fire', 100), ('Water', 200), ('Electric', 0), ('Grass', 200), ('Ice', 200), ('Fighting', 200), ('Poison', 50), ('Ground', 100), ('Flying', 100), ('Psychic', 0), ('Bug', 200), ('Rock', 50), ('Ghost', 50), ('Dragon', 100), ('Dark', 50), ('Steel', 100), ('Fairy', 200)]
Poison/Dark:[('Normal', 100), ('Fire', 100), ('Water', 100), ('Electric', 100), ('Grass', 50), ('Ice', 100), ('Fighting', 100), ('Poison', 50), ('Ground', 200), ('Flying', 100), ('Psychic', 0), ('Bug', 100), ('Rock', 100), ('Ghost', 50), ('Dragon', 100), ('Dark', 50), ('Steel', 100), ('Fairy', 100)]
Grass/Bug:[('Normal', 100), ('Fire', 400), ('Water', 50), ('Electric', 50), ('Grass', 25), ('Ice', 200), ('Fighting', 50), ('Poison', 200), ('Ground', 25), ('Flying', 400), ('Psychic', 100), ('Bug', 200), ('Rock', 200), ('Ghost', 100), ('Dragon', 100), ('Dark', 100), ('Steel', 100), ('Fairy', 100)]
Dragon/Psychic:[('Normal', 100), ('Fire', 50), ('Water', 50), ('Electric', 50), ('Grass', 50), ('Ice', 200), ('Fighting', 50), ('Poison', 100), ('Ground', 100), ('Flying', 100), ('Psychic', 50), ('Bug', 200), ('Rock', 100), ('Ghost', 200), ('Dragon', 200), ('Dark', 200), ('Steel', 100), ('Fairy', 200)]
Poison/Fairy:[('Normal', 100), ('Fire', 100), ('Water', 100), ('Electric', 100), ('Grass', 50), ('Ice', 100), ('Fighting', 25), ('Poison', 100), ('Ground', 200), ('Flying', 100), ('Psychic', 200), ('Bug', 25), ('Rock', 100), ('Ghost', 100), ('Dragon', 0), ('Dark', 50), ('Steel', 200), ('Fairy', 50)]
Bug/Flying:[('Normal', 100), ('Fire', 200), ('Water', 100), ('Electric', 200), ('Grass', 25), ('Ice', 200), ('Fighting', 25), ('Poison', 100), ('Ground', 0), ('Flying', 200), ('Psychic', 100), ('Bug', 50), ('Rock', 400), ('Ghost', 100), ('Dragon', 100), ('Dark', 100), ('Steel', 100), ('Fairy', 100)]
